Time,Open,High,Low,Last
3/25/21 14:00,387.34,387.40,386.98,386.99
3/25/21 14:05,386.99,387.31,386.84,386.93
3/25/21 14:10,386.93,387.18,386.81,387.11
3/25/21 14:15,387.10,387.58,386.92,387.56
3/25/21 14:20,387.55,387.62,387.16,387.41
3/25/21 14:25,387.41,387.44,386.60,386.66
3/25/21 14:30,386.66,386.98,386.64,386.94
3/25/21 14:35,386.92,388.08,386.83,387.91
3/25/21 14:40,387.91,388.28,387.87,388.20
3/25/21 14:45,388.20,388.54,388.19,388.37
3/25/21 14:50,388.39,388.93,388.22,388.83
3/25/21 14:55,388.83,388.98,388.46,388.88
3/25/21 15:00,388.88,389.28,388.83,389.27
3/25/21 15:05,389.27,389.33,388.85,388.92
3/25/21 15:10,388.92,389.58,388.89,389.19
3/25/21 15:15,389.20,389.68,389.20,389.50
3/25/21 15:20,389.50,389.69,389.13,389.25
3/25/21 15:25,389.27,389.49,389.13,389.47
3/25/21 15:30,389.45,389.91,389.28,389.74
3/25/21 15:35,389.75,389.88,389.43,389.83
3/25/21 15:40,389.83,390.22,389.72,389.96
3/25/21 15:45,389.97,390.23,389.85,390.08
3/25/21 15:50,390.10,390.55,389.85,389.90
3/25/21 15:55,389.91,390.54,389.57,389.72
3/26/21 9:30,390.93,391.34,390.84,391.27
3/26/21 9:35,391.28,391.32,390.97,391.22
3/26/21 9:40,391.22,391.33,390.84,391.03
3/26/21 9:45,391.05,391.39,390.91,391.20
3/26/21 9:50,391.19,391.25,390.87,391.10
3/26/21 9:55,391.11,391.37,391.11,391.28
3/26/21 10:00,391.27,391.88,391.06,391.86
3/26/21 10:05,391.86,391.89,391.53,391.57
3/26/21 10:10,391.57,391.70,391.38,391.68
3/26/21 10:15,391.69,391.73,391.41,391.46
3/26/21 10:20,391.46,391.65,391.29,391.60
3/26/21 10:25,391.60,392.06,391.60,392.06
3/26/21 10:30,392.05,392.35,392.04,392.13
3/26/21 10:35,392.12,392.20,391.92,392.01
3/26/21 10:40,392.02,392.17,391.97,392.12
3/26/21 10:45,392.11,392.28,391.77,391.80
3/26/21 10:50,391.81,391.98,391.63,391.68
3/26/21 10:55,391.69,391.69,391.39,391.51
3/26/21 11:00,391.52,391.72,391.27,391.71
3/26/21 11:05,391.72,391.82,391.65,391.69
3/26/21 11:10,391.69,391.73,390.94,391.06
3/26/21 11:15,391.07,391.18,390.86,391.05
